,Comparison,Correlation,P_value,Cancer Type
9177,UQCR10_proteomics,-0.35362128221935096,0.004747453341171715,Kidney
7350,SAP30_proteomics,0.3533630066886211,0.004747453341171715,Kidney
6171,PLCL1_proteomics,-0.3536417598612946,0.004747453341171715,Kidney
2228,DHX30_proteomics,-0.3533835756815455,0.004747453341171715,Kidney
6633,PTK2B_proteomics,-0.35322982357769356,0.004761434368960106,Kidney
6426,PPP4R2_proteomics,-0.35291132025436805,0.004816431466471445,Kidney
7737,SLC2A13_proteomics,0.3522677845213178,0.0049453880498449895,Kidney
8819,TRAF3IP2_proteomics,0.3736734102524764,0.005010633558153202,Kidney
832,BASP1_proteomics,-0.35159822441521404,0.005051617708646667,Kidney
3044,FNBP1_proteomics,-0.35161183561023734,0.005051617708646667,Kidney
8879,TRIP6_proteomics,0.35146632452843085,0.00506632028877092,Kidney
4678,MBOAT2_proteomics,-0.37259565165564057,0.0051857879765137855,Kidney
6204,PLIN2_proteomics,0.35079348655740306,0.005192237809491737,Kidney
1605,CKS1B_proteomics,0.3875714547433687,0.005276608155520607,Kidney
8594,TMCO6_proteomics,0.3997963511951595,0.005429046683955713,Kidney
3532,HABP4_proteomics,-0.34958525168638743,0.005435754317949116,Kidney
9282,VIL1_proteomics,-0.34922323515762355,0.0055090577472649786,Kidney
8993,TUBB2B_proteomics,-0.37822390906877346,0.005520568685017245,Kidney
1385,CDC37L1_proteomics,-0.3488368505981828,0.005571530613939835,Kidney
731,ATP2B4_proteomics,0.3487729971921214,0.005571530613939835,Kidney
2148,DDX47_proteomics,0.3486538165508727,0.005584738714642376,Kidney
7432,SDR39U1_proteomics,-0.3484616450421818,0.005616589936825909,Kidney
7734,SLC27A4_proteomics,-0.34788606880710815,0.005645305764588654,Kidney
2701,ERO1A_proteomics,0.34813364763206844,0.005645305764588654,Kidney
3424,GRAP_proteomics,-0.40721232351387093,0.005645305764588654,Kidney
8610,TMEM115_proteomics,-0.348132530040971,0.005645305764588654,Kidney
5985,PFAS_proteomics,0.34798048493948563,0.005645305764588654,Kidney
2233,DHX36_proteomics,-0.34788612168167454,0.005645305764588654,Kidney
955,BRK1_proteomics,-0.34798339446610416,0.005645305764588654,Kidney
5469,NME7_proteomics,0.3474015826975238,0.005753357600292955,Kidney
4261,KRIT1_proteomics,0.34708130031736795,0.005820011530087237,Kidney
7481,SEMA5B_proteomics,0.3465001622188565,0.005825321544997199,Kidney
1904,CRYBG1_proteomics,0.34654232649486005,0.005825321544997199,Kidney
3657,HK2_proteomics,0.34643842151101145,0.005825321544997199,Kidney
5344,NDUFB5_proteomics,-0.3468640808567945,0.005825321544997199,Kidney
2704,ERP44_proteomics,-0.3466758190660292,0.005825321544997199,Kidney
3128,GABARAPL1_proteomics,-0.4930548890065374,0.005825321544997199,Kidney
6749,RAB20_proteomics,0.34674004811517467,0.005825321544997199,Kidney
6646,PTPN12_proteomics,0.3467221895068134,0.005825321544997199,Kidney
8838,TRAPPC5_proteomics,-0.3464420069159735,0.005825321544997199,Kidney
844,BBS7_proteomics,0.34641667239244023,0.005825321544997199,Kidney
703,ATG3_proteomics,-0.3461763172221369,0.00587190963823112,Kidney
3919,IL16_proteomics,-0.3460523626953505,0.0058879450188268545,Kidney
6697,PXK_proteomics,-0.34575729912014247,0.005949671687096986,Kidney
8165,STK10_proteomics,-0.34540211015772043,0.006028273308442953,Kidney
8828,TRAPPC1_proteomics,-0.3451177063218399,0.006088481132725744,Kidney
3415,GPX3_proteomics,-0.345019270500481,0.006098200509369484,Kidney
1218,CAV1_proteomics,0.3448892654221376,0.0060994933381799355,Kidney
7134,RP2_proteomics,0.34489599513574837,0.0060994933381799355,Kidney
7592,SH3BGRL_proteomics,-0.3447303483454712,0.006125936066831638,Kidney
1404,CDH2_proteomics,0.34431659161392014,0.006223111775806852,Kidney
8857,TRIM26_proteomics,-0.3440023564452469,0.006289832960995469,Kidney
3265,GLB1_proteomics,-0.34395390313878,0.006289832960995469,Kidney
9502,YWHAQ_proteomics,0.34348453974608073,0.006405325643857456,Kidney
5320,NDUFA4_proteomics,-0.34305874475933684,0.006510123853800436,Kidney
4629,MAPKAP1_proteomics,-0.34277538735917523,0.0065667328006639636,Kidney
6001,PGAM1_proteomics,0.34274097775522383,0.0065667328006639636,Kidney
