,Comparison,Correlation,P_value,Cancer Type
4261,IQGAP2_proteomics,-0.3594168273151861,0.0001239188805459449,Hnscc
6881,PPP3CC_proteomics,-0.35917146148685597,0.00012534439136959688,Hnscc
3532,GMDS_proteomics,-0.35892487393992983,0.00012679233959480172,Hnscc
2792,ENO1_proteomics,0.3584253170432138,0.00012977346502731705,Hnscc
7538,RIN3_proteomics,-0.3580825617100261,0.0001318563956513917,Hnscc
4784,LOXL2_proteomics,0.35790069037620875,0.0001329742011078432,Hnscc
5964,NPTN_proteomics,0.35708585997216624,0.00013809115494315053,Hnscc
4032,HSP90AA1_proteomics,0.3570810751761526,0.00013812173520814968,Hnscc
2830,EPHB3_proteomics,0.35708004604871196,0.00013812831331959716,Hnscc
6665,PLOD2_proteomics,0.3567342451183371,0.00014035519571166762,Hnscc
5208,MICAL1_proteomics,-0.35643321709863585,0.00014232084334334365,Hnscc
4362,JCHAIN_proteomics,-0.3563446245835128,0.00014290418253052288,Hnscc
