LINE 401 : 2022-02-04 21:38:39,410 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Calibri' (calibrii.ttf) italic normal 400 normal>) = 11.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Comic Sans MS' (comici.ttf) italic normal 400 normal>) = 11.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Courier New' (cour.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Century Gothic' (GOTHIC.TTF) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Microsoft Yi Baiti' (msyi.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'HoloLens MDL2 Assets' (holomdl2.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Times New Roman' (timesi.ttf) italic normal 400 normal>) = 11.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Microsoft YaHei' (msyhl.ttc) normal normal 290 normal>) = 10.4395
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Californian FB' (CALIFB.TTF) normal normal 700 normal>) = 10.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Corbel' (corbelz.ttf) italic normal 700 normal>) = 11.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Parchment' (PARCHM.TTF) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Century Gothic' (GOTHICBI.TTF) italic normal 700 normal>) = 11.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Courier New' (couri.ttf) italic normal 400 normal>) = 11.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Lucida Handwriting' (LHANDW.TTF) italic normal 400 normal>) = 11.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Bookman Old Style' (BOOKOSI.TTF) italic normal 300 normal>) = 11.43
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Courier New' (cour.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Garamond' (GARABD.TTF) normal normal 700 normal>) = 10.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Bodoni MT' (BOD_CB.TTF) normal normal 700 condensed>) = 10.25
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Cooper Black' (COOPBL.TTF) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Castellar' (CASTELAR.TTF) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Monotype Corsiva' (MTCORSVA.TTF) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Berlin Sans FB Demi' (BRLNSDB.TTF) normal normal 700 normal>) = 10.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Ravie' (RAVIE.TTF) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Corbel' (corbell.ttf) normal normal 300 normal>) = 10.43
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Dubai' (DUBAI-REGULAR.TTF) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Segoe UI' (segoeuiz.ttf) italic normal 700 normal>) = 11.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Malgun Gothic' (malgunsl.ttf) normal normal 300 normal>) = 10.43
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Symbol' (symbol.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Palace Script MT' (PALSCRI.TTF) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Tw Cen MT' (TCM_____.TTF) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Corbel' (corbelb.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Century Schoolbook' (SCHLBKBI.TTF) italic normal 700 normal>) = 11.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Nirmala UI' (Nirmala.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Maiandra GD' (MAIAN.TTF) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Book Antiqua' (ANTQUAB.TTF) normal normal 700 normal>) = 10.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Times New Roman' (timesbi.ttf) italic normal 700 normal>) = 11.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Calisto MT' (CALISTB.TTF) normal normal 700 normal>) = 10.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Bell MT' (BELLB.TTF) normal normal 700 normal>) = 10.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Tahoma' (tahomabd.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Malgun Gothic' (malgun.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Gill Sans MT' (GILBI___.TTF) italic normal 700 normal>) = 11.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'Calisto MT' (CALISTBI.TTF) italic normal 700 normal>) = 11.05
