Trans_Gene,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_colon,P_value_colon,Correlation_Lscc,P_value_Lscc
HLA-DMB,-0.4420053958513874,4.644494274570248e-06,-0.039792374152261535,0.6797956956494481,0.019519436069224263,0.8609615588005057,0.08811117898234859,0.34907360401443416,0.1774183042638892,0.06370175484450999,-0.29054674900402244,0.0021779598807071024,0.03707746741122157,0.7184278137066383,-0.2014181632128988,0.036589430660757566
CTSS,-0.4413047063447187,4.8279547151132385e-06,-0.22814501663561845,0.017032727439584373,-0.1086396063603674,0.3282518745833938,0.25104127479929383,0.006806038881006032,-0.2594522598648686,0.0061981539469774605,-0.4785301637263124,1.4173453366482874e-07,0.09866894775591856,0.336286999225042,-0.2722282921499286,0.0043692196391630495
TYROBP,-0.4398210914081671,5.239193515315559e-06,-0.10544781727318447,0.2729159372622371,-0.05746559598234044,0.6058380197175559,0.2378650351860361,0.023182596745892358,0.05978289287908824,0.5349938704679518,-0.15640419682732012,0.11463842278910195,0.26394289458341835,0.043385330546081666,-0.01755332895727036,0.8569086086585347
TYROBP,-0.4398210914081671,5.239193515315559e-06,-0.10544781727318447,0.2729159372622371,-0.05746559598234044,0.6058380197175559,0.2378650351860361,0.023182596745892358,0.05978289287908824,0.5349938704679518,-0.15640419682732012,0.11463842278910195,0.26394289458341835,0.043385330546081666,-0.01755332895727036,0.8569086086585347
CD300A,-0.4396928026611209,5.276262861160558e-06,-0.1118720892791838,0.3565104846802535,0.046046681056806184,0.6793410195879479,0.2809979603695153,0.003220868256966448,-0.01778364901421249,0.8620194552079203,-0.22773158032906984,0.033890222449688014,0.0960552750524188,0.5114704211882845,0.028496620006905636,0.7697063524983484
NF1,0.4390237262660885,5.473633839323637e-06,-0.02923861717267589,0.7617230112792859,-0.12907331348288015,0.2448487640666505,-0.14231991022728455,0.12919783768972287,0.05693838667876633,0.5546325610350151,0.1715676089334882,0.07445303780641775,0.15850427232548014,0.14494226406531205,0.054992419825070325,0.5718860762547799
GMFG,-0.4382236838709577,5.71877111298457e-06,-0.25662993552142865,0.0068039362812864395,-0.005637681423532388,0.9596576674491124,0.21034058726663515,0.02405090548260867,-0.41759865020681786,5.653415017821965e-06,-0.33682161247322634,0.00034200172973606225,0.3311571870484943,0.0009221945485468012,-0.10544363634477584,0.277442520045856
STXBP2,-0.4378059058846811,5.850855429916688e-06,-0.0398219228605434,0.6795709546527119,0.14401747937309006,0.1939622267956208,-0.2428322061739793,0.008925371660966606,0.09063863574397517,0.3463428073253593,-0.2381142985851745,0.012656262363695124,0.07319067293865263,0.4761823802972913,-0.04131376047350658,0.6711789002797958
FCER1G,-0.4375775282144457,5.924268696656898e-06,-0.11908062020479693,0.21531767595003445,0.03834829796661145,0.7306974995709337,0.21329704215972373,0.02209249449708809,-0.03260801278273102,0.7352283805534776,-0.26168974341181706,0.005983306415817402,0.0014410455879184274,0.9888230644562068,-0.008100556601458024,0.9336883490138408
ABI2,0.43736669249384297,5.992812535471229e-06,-0.10206481189903234,0.2886853559428395,0.06961108307921672,0.5317554561556496,-0.2089691356015726,0.02500866909632572,-0.19145948853444672,0.04510416708232221,-0.15829887356391606,0.10017236993113328,0.07957713171232203,0.5455811387033079,0.08005527389000627,0.4101663084533744
VAMP8,-0.4371798002477917,6.0541961496271024e-06,0.01246172506180285,0.8971901901581705,0.14612540841920382,0.1874486800079196,0.13323543365870952,0.15574761876576154,0.2368608460601372,0.012724088350800149,0.017860113904620403,0.853754559557908,-0.14046190352939975,0.16997963617182596,0.13299899460330872,0.17000513984016952
