Comparison,Correlation_Gbm
AKAP5_proteomics,0.2763353151882162
TAOK1_proteomics,0.2761083345711421
GPRC5C_proteomics,0.37122970640550457
DLGAP4_proteomics,0.27570993699171353
EPM2AIP1_proteomics,0.27564517936545285
NTM_proteomics,0.2756390523820414
CNNM3_proteomics,0.2756032543973808
VOPP1_proteomics,0.4094618271696199
NFIB_proteomics,0.2754693948348316
HDAC9_proteomics,0.3199076646606823
CDH20_proteomics,0.27507852295526136
EEF1A2_proteomics,0.2750580630021965
SHISA9_proteomics,0.275013969976561
PJA2_proteomics,0.2749187429577972
PAX6_proteomics,0.30334967986464634
PTPRF_proteomics,0.2742950713430101
CDK14_proteomics,0.2742511725367885
EIF1AY_proteomics,0.2826759040196481
GNAZ_proteomics,0.2740248648840376
ABHD17C_proteomics,0.2740130458947602
RIDA_proteomics,0.27377890865894505
TBC1D24_proteomics,0.27354157146351993
MSI2_proteomics,0.27353507204276506
USP48_proteomics,0.2735089927156623
FAM168A_proteomics,0.27324673506226554
SLC25A25_proteomics,0.2729073465733679
NAA16_proteomics,0.2728990235721993
HNRNPA2B1_proteomics,0.2723500194217455
SLC25A18_proteomics,0.27207707387808105
CACFD1_proteomics,0.2720021497436318
DPY19L3_proteomics,0.2719157188249194
PLCG1_proteomics,0.271862418763166
PPEF1_proteomics,0.3993946664590864
BAIAP3_proteomics,0.2713189278883752
NUDCD2_proteomics,0.27126721835600914
MT-ATP6_proteomics,0.27112945760693274
YJU2_proteomics,0.2711181774007825
CASKIN2_proteomics,0.2708997421660841
DHRS13_proteomics,0.2707623228844178
SHPK_proteomics,0.2706891318483212
CIRBP_proteomics,0.2705992070879448
SLC19A1_proteomics,0.27022212269036505
COL28A1_proteomics,0.2702005697677208
SRR_proteomics,0.2700984688415403
TJP2_proteomics,0.2699934463664177
AQP1_proteomics,0.2699857408689551
MARK1_proteomics,0.2699187556824261
LRIG1_proteomics,0.2698558490961687
CTNNA2_proteomics,0.2696673355605956
NT5C1A_proteomics,0.2696659044336227
FBXL7_proteomics,0.2693827066901429
GNAI3_proteomics,0.26934482102462753
RIC3_proteomics,0.3625503165823663
PITPNA_proteomics,0.2689266728332616
HDGFL2_proteomics,0.2689108138291231
DNAJC5_proteomics,0.26883981923332073
GAS1_proteomics,0.2949412828501838
PGAP1_proteomics,0.26876720059558845
KCTD3_proteomics,0.26866388437139155
GSTCD_proteomics,0.26852907798315945
APBA2_proteomics,0.26824535504014074
